what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341177190433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178728252
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341178753487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341178754803
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1341178756491
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1341178756888
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1341178757027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178757318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341178766387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178766408
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1341178768637
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1341178768692
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341178768714
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1341178770973
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341178796528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178797248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341178798207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178798221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341178799697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180174218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180179439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180184983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341180191954
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341180191995
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341180203948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341180206552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341180209127
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341180211686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180212933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180214175
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341180218217
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341180218243
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341180224900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341180228071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341180230487
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341180234431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180235821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180236946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341180249271
